"Term","Estimate","SD Error","Low CI","High CI"
"(Intercept)",-2.62,0.35,-3.31,-1.93
"year2015",-3.76,0.61,-4.96,-2.57
"year2016",-0.06,0.38,-0.81,0.68
"year2017",-0.36,0.39,-1.12,0.41
"year2018",-1.07,0.44,-1.94,-0.21
"year2019",-0.29,0.39,-1.06,0.49
"year2021",0.86,0.47,-0.05,1.78
"year2022",-1.49,0.52,-2.5,-0.48
"year2023",0.46,0.42,-0.37,1.29
"year2024",0.09,0.42,-0.73,0.91
"regionSouth",1.18,0.2,0.79,1.57
"temp_bin(-1,0]",0.29,0.24,-0.19,0.77
"temp_bin(0,1]",-0.52,0.34,-1.19,0.15
"temp_bin(1,2]",-1.2,0.48,-2.15,-0.26
"temp_bin(2,3]",-1.77,0.9,-3.54,0
