"Term","Estimate","SD Error","Low CI","High CI"
"(Intercept)",-2.34,0.65,-3.61,-1.06
"year2015",-3.44,0.6,-4.61,-2.27
"year2016",0.31,0.38,-0.44,1.06
"year2017",-0.32,0.38,-1.06,0.42
"year2018",-0.67,0.42,-1.5,0.15
"year2019",0.01,0.38,-0.74,0.76
"year2021",1.37,0.47,0.45,2.28
"year2022",-0.28,0.6,-1.45,0.89
"year2023",1.39,0.5,0.4,2.37
"year2024",-0.07,0.44,-0.92,0.78
"regionSouth",1.13,0.27,0.6,1.66
"temp_bin(125,140]",-0.1,0.52,-1.12,0.93
"temp_bin(140,155]",-1.08,0.58,-2.22,0.05
"temp_bin(155,170]",-0.39,0.61,-1.58,0.8
"temp_bin(170,215]",-0.71,0.62,-1.93,0.51
