"Term","Estimate","SD Error","Low CI","High CI"
"(Intercept)",-2.87,0.48,-3.82,-1.93
"year2015",-3.84,0.61,-5.04,-2.63
"year2016",-0.04,0.42,-0.87,0.79
"year2017",-0.49,0.43,-1.33,0.35
"year2018",-1.01,0.44,-1.87,-0.15
"year2019",0.29,0.43,-0.55,1.13
"year2021",2.04,0.52,1.03,3.05
"year2022",0.09,0.6,-1.08,1.27
"year2023",1.19,0.47,0.27,2.11
"year2024",0.43,0.46,-0.47,1.32
"regionSouth",0.99,0.24,0.53,1.46
"month6",0.82,0.3,0.22,1.42
"month7",-0.42,0.36,-1.12,0.29
"temp_bin(-1,-0.5]",0.33,0.33,-0.31,0.97
"temp_bin(-0.5,0]",-0.45,0.36,-1.15,0.24
"temp_bin(0,0.5]",-0.14,0.38,-0.89,0.61
"temp_bin(0.5,2.1]",-1.34,0.49,-2.3,-0.39
