"","base","no_smurf","OCNMS","RREASN","oceanographic_index","RREAS","Label","Yr"
"86",0.763828,0.763206,0.786212,0.762471,0.763965,0.763726,"Main_RecrDev_1990",1990
"87",0.550441,0.550807,0.575007,0.549809,0.550137,0.550129,"Main_RecrDev_1991",1991
"88",0.116908,0.117818,0.143447,0.116788,0.116366,0.118643,"Main_RecrDev_1992",1992
"89",-0.292573,-0.29339,-0.268648,-0.293878,-0.29236,-0.286043,"Main_RecrDev_1993",1993
"90",0.276063,0.278469,0.306637,0.277373,0.274827,0.283906,"Main_RecrDev_1994",1994
"91",0.163554,0.165587,0.194322,0.164504,0.162482,0.174748,"Main_RecrDev_1995",1995
"92",-0.296031,-0.29597,-0.26828,-0.2965,-0.296187,-0.280569,"Main_RecrDev_1996",1996
"93",-0.0175334,-0.0163279,0.0130038,-0.016878,-0.0182085,-0.00782507,"Main_RecrDev_1997",1997
"94",0.506903,0.509821,0.542274,0.508646,0.505414,0.548979,"Main_RecrDev_1998",1998
"95",0.204893,0.205122,0.236447,0.204945,0.204607,0.0905779,"Main_RecrDev_1999",1999
"96",0.704591,0.707648,0.74206,0.706307,0.70304,0.908591,"Main_RecrDev_2000",2000
"97",-0.0479889,-0.0468307,-0.0126969,-0.0478901,-0.0486816,-0.676376,"Main_RecrDev_2001",2001
"98",-0.628038,-0.627045,-0.592765,-0.627328,-0.628625,-0.318221,"Main_RecrDev_2002",2002
"99",-0.297796,-0.295332,-0.258955,-0.29602,-0.299058,-0.721266,"Main_RecrDev_2003",2003
"100",0.08243,0.0874778,0.12863,0.0860832,0.0799898,0.458858,"Main_RecrDev_2004",2004
"101",-0.627192,-0.628881,-0.597038,-0.629142,-0.626641,-0.77542,"Main_RecrDev_2005",2005
"102",0.431093,0.437996,0.483916,0.436253,0.427835,0.439908,"Main_RecrDev_2006",2006
"103",-0.385053,-0.384673,-0.346464,-0.384217,-0.385595,-0.496726,"Main_RecrDev_2007",2007
"104",0.792357,0.800683,0.850865,0.799173,0.788119,0.794925,"Main_RecrDev_2008",2008
"105",-0.634647,-0.634091,-0.59294,-0.649119,-0.63563,-0.674847,"Main_RecrDev_2009",2009
"106",0.325057,0.335224,0.38983,0.362659,0.31962,0.409811,"Main_RecrDev_2010",2010
"107",-0.179049,-0.169749,-0.118273,-0.276749,-0.182894,-0.215906,"Main_RecrDev_2011",2011
"108",0.00460822,0.0121801,0.0721833,0.0523977,-0.00268482,-0.223708,"Main_RecrDev_2012",2012
"109",0.0882049,0.120408,0.183013,0.116214,0.0844295,0.572788,"Main_RecrDev_2013",2013
"110",0.211043,0.149653,0.215938,0.148854,0.197299,0.217268,"Main_RecrDev_2014",2014
"111",-0.334214,-0.0316403,0.0343749,-0.0206368,-0.344991,-0.439443,"Main_RecrDev_2015",2015
"112",0.0287211,-0.0832557,-0.0630101,-0.0830334,0.0133592,0.590626,"Main_RecrDev_2016",2016
"113",-0.373508,-0.364285,0.0944826,-0.348094,-0.394067,-0.458111,"Main_RecrDev_2017",2017
"114",-0.484872,-0.430334,-2.3116,-0.404131,-0.509319,-0.8148,"Main_RecrDev_2018",2018
"115",0.00381332,-0.0111178,0.589993,0.0215298,-0.0338112,-0.378506,"Late_RecrDev_2019",2019
"116",-0.203425,-0.187572,-0.234716,-0.191148,-0.195145,-0.0800113,"Late_RecrDev_2020",2020
"117",0.333455,-0.141222,0.738998,-0.0375838,0.201873,0.541168,"Late_RecrDev_2021",2021
"118",-0.120771,-0.056581,-1.6762,-0.0918268,-0.349546,0.539984,"Late_RecrDev_2022",2022
"119",0.502712,-0.0195338,0.218665,0.048223,0.102324,0.463518,"Late_RecrDev_2023",2023
"120",-0.0312745,0,0.583928,0.0501703,-0.336661,1.5071,"Late_RecrDev_2024",2024
"121",0,0,0,0,0,0,"ForeRecr_2025",2025
"122",0,0,0,0,0,0,"ForeRecr_2026",2026
"123",0,0,0,0,0,0,"ForeRecr_2027",2027
"124",0,0,0,0,0,0,"ForeRecr_2028",2028
"125",0,0,0,0,0,0,"ForeRecr_2029",2029
"126",0,0,0,0,0,0,"ForeRecr_2030",2030
"127",0,0,0,0,0,0,"ForeRecr_2031",2031
"128",0,0,0,0,0,0,"ForeRecr_2032",2032
"129",0,0,0,0,0,0,"ForeRecr_2033",2033
"130",0,0,0,0,0,0,"ForeRecr_2034",2034
"131",0,0,0,0,0,0,"ForeRecr_2035",2035
"132",0,0,0,0,0,0,"ForeRecr_2036",2036
