"year","month","fleet","obs","logse"
"2014",7,NA,0.0275210350099006,0.417223471625084
"2015",7,NA,0.000680788672996483,0.613152373361187
"2016",7,NA,0.0391830208714223,0.368908252337374
"2017",7,NA,0.016916927099444,0.379410911678776
"2018",7,NA,0.00883063315240309,0.451789227479202
"2019",7,NA,0.0276947468382792,0.416834833637587
"2021",7,NA,0.166508790708907,0.499336270299738
"2022",7,NA,0.0134575031002124,0.559377651262338
"2023",7,NA,0.0726118351368894,0.428318690033741
"2024",7,NA,0.049819783844287,0.382787263736053
