"Term","Estimate","SD Error","Low CI","High CI"
"(Intercept)",-4.05,0.35,-4.74,-3.36
"year2015",-3.09,0.57,-4.21,-1.97
"year2016",0.71,0.34,0.03,1.38
"year2017",0.15,0.34,-0.53,0.82
"year2018",-0.57,0.38,-1.32,0.18
"year2019",0.77,0.37,0.04,1.49
"year2021",2.32,0.46,1.43,3.22
"year2022",-0.06,0.51,-1.07,0.94
"year2023",1.62,0.39,0.87,2.38
"year2024",1.15,0.41,0.35,1.95
"regionSouth",1.33,0.19,0.96,1.69
"month6",1.17,0.25,0.67,1.66
"month7",0.07,0.31,-0.53,0.67
